runtime,solution cost,instance name
0.008,471,./instances/empty-16-16/empty-16-16-random-40-agents-90.scen
0.008,431,./instances/empty-16-16/empty-16-16-random-40-agents-91.scen
0.011,459,./instances/empty-16-16/empty-16-16-random-40-agents-92.scen
0.01,464,./instances/empty-16-16/empty-16-16-random-40-agents-93.scen
0.006,532,./instances/empty-16-16/empty-16-16-random-40-agents-94.scen
0.008,474,./instances/empty-16-16/empty-16-16-random-40-agents-95.scen
0.006,426,./instances/empty-16-16/empty-16-16-random-40-agents-96.scen
0.005,479,./instances/empty-16-16/empty-16-16-random-40-agents-97.scen
0.015,498,./instances/empty-16-16/empty-16-16-random-40-agents-98.scen
0.009,457,./instances/empty-16-16/empty-16-16-random-40-agents-99.scen
0.01,466,./instances/empty-16-16/empty-16-16-random-40-agents-100.scen
60.001,-1,./instances/empty-16-16/empty-16-16-random-60-agents-1.scen
0.018,700,./instances/empty-16-16/empty-16-16-random-60-agents-2.scen
0.018,701,./instances/empty-16-16/empty-16-16-random-60-agents-3.scen
0.011,716,./instances/empty-16-16/empty-16-16-random-60-agents-4.scen
0.016,733,./instances/empty-16-16/empty-16-16-random-60-agents-5.scen
60.002,-1,./instances/empty-16-16/empty-16-16-random-60-agents-6.scen
0.036,649,./instances/empty-16-16/empty-16-16-random-60-agents-7.scen
60.001,-1,./instances/empty-16-16/empty-16-16-random-60-agents-8.scen
0.014,673,./instances/empty-16-16/empty-16-16-random-60-agents-9.scen
60.001,-1,./instances/empty-16-16/empty-16-16-random-60-agents-10.scen
0.017,702,./instances/empty-16-16/empty-16-16-random-60-agents-11.scen
0.069,698,./instances/empty-16-16/empty-16-16-random-60-agents-12.scen
0.018,738,./instances/empty-16-16/empty-16-16-random-60-agents-13.scen
60.001,-1,./instances/empty-16-16/empty-16-16-random-60-agents-14.scen
0.045,737,./instances/empty-16-16/empty-16-16-random-60-agents-15.scen
0.023,673,./instances/empty-16-16/empty-16-16-random-60-agents-16.scen
0.024,728,./instances/empty-16-16/empty-16-16-random-60-agents-17.scen
0.509,663,./instances/empty-16-16/empty-16-16-random-60-agents-18.scen
0.024,719,./instances/empty-16-16/empty-16-16-random-60-agents-19.scen
60.001,-1,./instances/empty-16-16/empty-16-16-random-60-agents-20.scen
0.016,681,./instances/empty-16-16/empty-16-16-random-60-agents-21.scen
60.001,-1,./instances/empty-16-16/empty-16-16-random-60-agents-22.scen
0.031,645,./instances/empty-16-16/empty-16-16-random-60-agents-23.scen
