runtime,solution cost,instance name
0.01,452,instances/empty-16-16/empty-16-16-random-40-agents-47.scen
0.009,466,instances/empty-16-16/empty-16-16-random-40-agents-48.scen
0.005,456,instances/empty-16-16/empty-16-16-random-40-agents-49.scen
0.009,453,instances/empty-16-16/empty-16-16-random-40-agents-50.scen
0.005,435,instances/empty-16-16/empty-16-16-random-40-agents-51.scen
0.005,474,instances/empty-16-16/empty-16-16-random-40-agents-52.scen
0.006,486,instances/empty-16-16/empty-16-16-random-40-agents-53.scen
0.011,488,instances/empty-16-16/empty-16-16-random-40-agents-54.scen
0.005,448,instances/empty-16-16/empty-16-16-random-40-agents-55.scen
0.008,442,instances/empty-16-16/empty-16-16-random-40-agents-56.scen
0.005,442,instances/empty-16-16/empty-16-16-random-40-agents-57.scen
0.008,462,instances/empty-16-16/empty-16-16-random-40-agents-58.scen
0.005,420,instances/empty-16-16/empty-16-16-random-40-agents-59.scen
0.006,461,instances/empty-16-16/empty-16-16-random-40-agents-60.scen
0.005,452,instances/empty-16-16/empty-16-16-random-40-agents-61.scen
0.007,461,instances/empty-16-16/empty-16-16-random-40-agents-62.scen
0.009,446,instances/empty-16-16/empty-16-16-random-40-agents-63.scen
0.008,451,instances/empty-16-16/empty-16-16-random-40-agents-64.scen
0.006,473,instances/empty-16-16/empty-16-16-random-40-agents-65.scen
0.005,418,instances/empty-16-16/empty-16-16-random-40-agents-66.scen
0.007,492,instances/empty-16-16/empty-16-16-random-40-agents-67.scen
0.005,473,instances/empty-16-16/empty-16-16-random-40-agents-68.scen
0.006,477,instances/empty-16-16/empty-16-16-random-40-agents-69.scen
0.008,508,instances/empty-16-16/empty-16-16-random-40-agents-70.scen
0.006,420,instances/empty-16-16/empty-16-16-random-40-agents-71.scen
0.008,433,instances/empty-16-16/empty-16-16-random-40-agents-72.scen
0.006,433,instances/empty-16-16/empty-16-16-random-40-agents-73.scen
0.005,475,instances/empty-16-16/empty-16-16-random-40-agents-74.scen
0.006,470,instances/empty-16-16/empty-16-16-random-40-agents-75.scen
0.005,448,instances/empty-16-16/empty-16-16-random-40-agents-76.scen
0.004,434,instances/empty-16-16/empty-16-16-random-40-agents-77.scen
0.005,441,instances/empty-16-16/empty-16-16-random-40-agents-78.scen
0.008,481,instances/empty-16-16/empty-16-16-random-40-agents-79.scen
0.006,518,instances/empty-16-16/empty-16-16-random-40-agents-80.scen
0.007,463,instances/empty-16-16/empty-16-16-random-40-agents-81.scen
0.005,463,instances/empty-16-16/empty-16-16-random-40-agents-82.scen
0.007,535,instances/empty-16-16/empty-16-16-random-40-agents-83.scen
0.007,451,instances/empty-16-16/empty-16-16-random-40-agents-84.scen
0.008,522,instances/empty-16-16/empty-16-16-random-40-agents-85.scen
0.004,459,instances/empty-16-16/empty-16-16-random-40-agents-86.scen
0.005,462,instances/empty-16-16/empty-16-16-random-40-agents-87.scen
0.006,486,instances/empty-16-16/empty-16-16-random-40-agents-88.scen
0.005,453,instances/empty-16-16/empty-16-16-random-40-agents-89.scen
0.005,473,instances/empty-16-16/empty-16-16-random-40-agents-90.scen
0.012,435,instances/empty-16-16/empty-16-16-random-40-agents-91.scen
0.007,463,instances/empty-16-16/empty-16-16-random-40-agents-92.scen
0.003,467,instances/empty-16-16/empty-16-16-random-40-agents-93.scen
0.007,533,instances/empty-16-16/empty-16-16-random-40-agents-94.scen
0.006,477,instances/empty-16-16/empty-16-16-random-40-agents-95.scen
0.004,427,instances/empty-16-16/empty-16-16-random-40-agents-96.scen
0.005,484,instances/empty-16-16/empty-16-16-random-40-agents-97.scen
0.006,501,instances/empty-16-16/empty-16-16-random-40-agents-98.scen
0.004,462,instances/empty-16-16/empty-16-16-random-40-agents-99.scen
0.007,468,instances/empty-16-16/empty-16-16-random-40-agents-100.scen
0.01,657,instances/empty-16-16/empty-16-16-random-60-agents-1.scen
0.014,706,instances/empty-16-16/empty-16-16-random-60-agents-2.scen
0.012,710,instances/empty-16-16/empty-16-16-random-60-agents-3.scen
0.017,728,instances/empty-16-16/empty-16-16-random-60-agents-4.scen
0.012,747,instances/empty-16-16/empty-16-16-random-60-agents-5.scen
0.022,762,instances/empty-16-16/empty-16-16-random-60-agents-6.scen
0.013,660,instances/empty-16-16/empty-16-16-random-60-agents-7.scen
0.012,694,instances/empty-16-16/empty-16-16-random-60-agents-8.scen
0.011,680,instances/empty-16-16/empty-16-16-random-60-agents-9.scen
0.013,709,instances/empty-16-16/empty-16-16-random-60-agents-10.scen
0.013,711,instances/empty-16-16/empty-16-16-random-60-agents-11.scen
0.013,706,instances/empty-16-16/empty-16-16-random-60-agents-12.scen
0.017,755,instances/empty-16-16/empty-16-16-random-60-agents-13.scen
0.019,668,instances/empty-16-16/empty-16-16-random-60-agents-14.scen
0.033,750,instances/empty-16-16/empty-16-16-random-60-agents-15.scen
0.01,678,instances/empty-16-16/empty-16-16-random-60-agents-16.scen
0.013,737,instances/empty-16-16/empty-16-16-random-60-agents-17.scen
0.02,674,instances/empty-16-16/empty-16-16-random-60-agents-18.scen
0.014,725,instances/empty-16-16/empty-16-16-random-60-agents-19.scen
0.014,718,instances/empty-16-16/empty-16-16-random-60-agents-20.scen
0.013,693,instances/empty-16-16/empty-16-16-random-60-agents-21.scen
0.014,696,instances/empty-16-16/empty-16-16-random-60-agents-22.scen
0.014,665,instances/empty-16-16/empty-16-16-random-60-agents-23.scen
0.014,711,instances/empty-16-16/empty-16-16-random-60-agents-24.scen
0.016,711,instances/empty-16-16/empty-16-16-random-60-agents-25.scen
0.021,689,instances/empty-16-16/empty-16-16-random-60-agents-26.scen
0.014,707,instances/empty-16-16/empty-16-16-random-60-agents-27.scen
0.022,700,instances/empty-16-16/empty-16-16-random-60-agents-28.scen
0.017,672,instances/empty-16-16/empty-16-16-random-60-agents-29.scen
0.013,694,instances/empty-16-16/empty-16-16-random-60-agents-30.scen
0.009,690,instances/empty-16-16/empty-16-16-random-60-agents-31.scen
0.017,651,instances/empty-16-16/empty-16-16-random-60-agents-32.scen
0.01,715,instances/empty-16-16/empty-16-16-random-60-agents-33.scen
0.007,659,instances/empty-16-16/empty-16-16-random-60-agents-34.scen
0.015,672,instances/empty-16-16/empty-16-16-random-60-agents-35.scen
0.018,676,instances/empty-16-16/empty-16-16-random-60-agents-36.scen
0.019,663,instances/empty-16-16/empty-16-16-random-60-agents-37.scen
0.038,767,instances/empty-16-16/empty-16-16-random-60-agents-38.scen
0.035,713,instances/empty-16-16/empty-16-16-random-60-agents-39.scen
0.032,787,instances/empty-16-16/empty-16-16-random-60-agents-40.scen
0.01,680,instances/empty-16-16/empty-16-16-random-60-agents-41.scen
0.014,690,instances/empty-16-16/empty-16-16-random-60-agents-42.scen
0.017,715,instances/empty-16-16/empty-16-16-random-60-agents-43.scen
0.017,753,instances/empty-16-16/empty-16-16-random-60-agents-44.scen
0.272,707,instances/empty-16-16/empty-16-16-random-60-agents-45.scen
0.016,675,instances/empty-16-16/empty-16-16-random-60-agents-46.scen
0.018,681,instances/empty-16-16/empty-16-16-random-60-agents-47.scen
0.013,678,instances/empty-16-16/empty-16-16-random-60-agents-48.scen
0.008,665,instances/empty-16-16/empty-16-16-random-60-agents-49.scen
0.012,661,instances/empty-16-16/empty-16-16-random-60-agents-50.scen
0.014,685,instances/empty-16-16/empty-16-16-random-60-agents-51.scen
0.018,719,instances/empty-16-16/empty-16-16-random-60-agents-52.scen
0.013,695,instances/empty-16-16/empty-16-16-random-60-agents-53.scen
0.019,732,instances/empty-16-16/empty-16-16-random-60-agents-54.scen
0.01,697,instances/empty-16-16/empty-16-16-random-60-agents-55.scen
0.014,702,instances/empty-16-16/empty-16-16-random-60-agents-56.scen
0.012,641,instances/empty-16-16/empty-16-16-random-60-agents-57.scen
0.013,685,instances/empty-16-16/empty-16-16-random-60-agents-58.scen
0.014,678,instances/empty-16-16/empty-16-16-random-60-agents-59.scen
0.017,723,instances/empty-16-16/empty-16-16-random-60-agents-60.scen
0.012,712,instances/empty-16-16/empty-16-16-random-60-agents-61.scen
0.021,740,instances/empty-16-16/empty-16-16-random-60-agents-62.scen
0.033,713,instances/empty-16-16/empty-16-16-random-60-agents-63.scen
0.026,690,instances/empty-16-16/empty-16-16-random-60-agents-64.scen
0.02,740,instances/empty-16-16/empty-16-16-random-60-agents-65.scen
0.014,696,instances/empty-16-16/empty-16-16-random-60-agents-66.scen
0.018,738,instances/empty-16-16/empty-16-16-random-60-agents-67.scen
0.037,720,instances/empty-16-16/empty-16-16-random-60-agents-68.scen
0.026,733,instances/empty-16-16/empty-16-16-random-60-agents-69.scen
0.023,746,instances/empty-16-16/empty-16-16-random-60-agents-70.scen
0.014,652,instances/empty-16-16/empty-16-16-random-60-agents-71.scen
0.018,688,instances/empty-16-16/empty-16-16-random-60-agents-72.scen
0.017,705,instances/empty-16-16/empty-16-16-random-60-agents-73.scen
0.017,728,instances/empty-16-16/empty-16-16-random-60-agents-74.scen
0.02,693,instances/empty-16-16/empty-16-16-random-60-agents-75.scen
0.015,686,instances/empty-16-16/empty-16-16-random-60-agents-76.scen
0.016,662,instances/empty-16-16/empty-16-16-random-60-agents-77.scen
0.015,679,instances/empty-16-16/empty-16-16-random-60-agents-78.scen
0.015,712,instances/empty-16-16/empty-16-16-random-60-agents-79.scen
0.015,775,instances/empty-16-16/empty-16-16-random-60-agents-80.scen
0.018,704,instances/empty-16-16/empty-16-16-random-60-agents-81.scen
0.009,678,instances/empty-16-16/empty-16-16-random-60-agents-82.scen
0.015,772,instances/empty-16-16/empty-16-16-random-60-agents-83.scen
0.013,644,instances/empty-16-16/empty-16-16-random-60-agents-84.scen
0.022,739,instances/empty-16-16/empty-16-16-random-60-agents-85.scen
0.024,720,instances/empty-16-16/empty-16-16-random-60-agents-86.scen
0.016,706,instances/empty-16-16/empty-16-16-random-60-agents-87.scen
0.056,694,instances/empty-16-16/empty-16-16-random-60-agents-88.scen
0.014,665,instances/empty-16-16/empty-16-16-random-60-agents-89.scen
0.017,729,instances/empty-16-16/empty-16-16-random-60-agents-90.scen
0.013,665,instances/empty-16-16/empty-16-16-random-60-agents-91.scen
0.014,717,instances/empty-16-16/empty-16-16-random-60-agents-92.scen
0.023,691,instances/empty-16-16/empty-16-16-random-60-agents-93.scen
0.018,773,instances/empty-16-16/empty-16-16-random-60-agents-94.scen
0.025,706,instances/empty-16-16/empty-16-16-random-60-agents-95.scen
0.015,670,instances/empty-16-16/empty-16-16-random-60-agents-96.scen
0.014,722,instances/empty-16-16/empty-16-16-random-60-agents-97.scen
0.02,695,instances/empty-16-16/empty-16-16-random-60-agents-98.scen
0.011,713,instances/empty-16-16/empty-16-16-random-60-agents-99.scen
0.011,703,instances/empty-16-16/empty-16-16-random-60-agents-100.scen
0.034,926,instances/empty-16-16/empty-16-16-random-80-agents-1.scen
0.022,974,instances/empty-16-16/empty-16-16-random-80-agents-3.scen
0.037,964,instances/empty-16-16/empty-16-16-random-80-agents-4.scen
0.036,996,instances/empty-16-16/empty-16-16-random-80-agents-5.scen
0.112,1016,instances/empty-16-16/empty-16-16-random-80-agents-6.scen
0.019,873,instances/empty-16-16/empty-16-16-random-80-agents-7.scen
0.028,937,instances/empty-16-16/empty-16-16-random-80-agents-8.scen
0.03,886,instances/empty-16-16/empty-16-16-random-80-agents-9.scen
0.025,940,instances/empty-16-16/empty-16-16-random-80-agents-10.scen
0.026,967,instances/empty-16-16/empty-16-16-random-80-agents-11.scen
0.036,1008,instances/empty-16-16/empty-16-16-random-80-agents-13.scen
0.036,892,instances/empty-16-16/empty-16-16-random-80-agents-14.scen
0.074,1039,instances/empty-16-16/empty-16-16-random-80-agents-15.scen
0.021,920,instances/empty-16-16/empty-16-16-random-80-agents-16.scen
0.05,995,instances/empty-16-16/empty-16-16-random-80-agents-17.scen
0.027,912,instances/empty-16-16/empty-16-16-random-80-agents-18.scen
0.047,1002,instances/empty-16-16/empty-16-16-random-80-agents-19.scen
0.05,959,instances/empty-16-16/empty-16-16-random-80-agents-20.scen
0.051,938,instances/empty-16-16/empty-16-16-random-80-agents-21.scen
0.066,905,instances/empty-16-16/empty-16-16-random-80-agents-22.scen
0.057,928,instances/empty-16-16/empty-16-16-random-80-agents-23.scen
0.029,940,instances/empty-16-16/empty-16-16-random-80-agents-24.scen
0.115,963,instances/empty-16-16/empty-16-16-random-80-agents-25.scen
0.032,892,instances/empty-16-16/empty-16-16-random-80-agents-26.scen
0.038,941,instances/empty-16-16/empty-16-16-random-80-agents-27.scen
0.052,990,instances/empty-16-16/empty-16-16-random-80-agents-28.scen
0.026,922,instances/empty-16-16/empty-16-16-random-80-agents-29.scen
0.028,962,instances/empty-16-16/empty-16-16-random-80-agents-30.scen
0.024,891,instances/empty-16-16/empty-16-16-random-80-agents-31.scen
0.033,897,instances/empty-16-16/empty-16-16-random-80-agents-32.scen
0.021,955,instances/empty-16-16/empty-16-16-random-80-agents-33.scen
0.015,920,instances/empty-16-16/empty-16-16-random-80-agents-34.scen
0.028,927,instances/empty-16-16/empty-16-16-random-80-agents-35.scen
0.026,917,instances/empty-16-16/empty-16-16-random-80-agents-36.scen
0.05,921,instances/empty-16-16/empty-16-16-random-80-agents-37.scen
0.054,1002,instances/empty-16-16/empty-16-16-random-80-agents-38.scen
0.045,941,instances/empty-16-16/empty-16-16-random-80-agents-39.scen
0.04,1034,instances/empty-16-16/empty-16-16-random-80-agents-40.scen
0.036,942,instances/empty-16-16/empty-16-16-random-80-agents-41.scen
0.031,958,instances/empty-16-16/empty-16-16-random-80-agents-42.scen
0.03,935,instances/empty-16-16/empty-16-16-random-80-agents-43.scen
0.07,1004,instances/empty-16-16/empty-16-16-random-80-agents-44.scen
0.041,964,instances/empty-16-16/empty-16-16-random-80-agents-45.scen
0.036,905,instances/empty-16-16/empty-16-16-random-80-agents-46.scen
0.075,946,instances/empty-16-16/empty-16-16-random-80-agents-47.scen
0.039,924,instances/empty-16-16/empty-16-16-random-80-agents-48.scen
0.033,902,instances/empty-16-16/empty-16-16-random-80-agents-49.scen
0.038,921,instances/empty-16-16/empty-16-16-random-80-agents-50.scen
0.033,924,instances/empty-16-16/empty-16-16-random-80-agents-51.scen
0.026,919,instances/empty-16-16/empty-16-16-random-80-agents-52.scen
0.048,995,instances/empty-16-16/empty-16-16-random-80-agents-53.scen
