runtime,solution cost,solver name,instance name
0.012,496,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-97.scen
0.013,521,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-98.scen
0.008,464,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-99.scen
0.011,480,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-100.scen
0.019,699,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-1.scen
0.021,732,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-2.scen
0.034,750,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-3.scen
0.03,774,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-4.scen
0.021,781,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-5.scen
0.032,794,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-6.scen
0.026,708,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-7.scen
0.04,742,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-8.scen
0.025,722,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-9.scen
0.033,755,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-10.scen
0.039,763,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-11.scen
0.064,762,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-12.scen
0.034,795,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-13.scen
0.032,686,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-14.scen
0.072,814,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-15.scen
0.024,698,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-16.scen
0.033,775,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-17.scen
0.263,694,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-18.scen
0.032,757,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-19.scen
0.104,758,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-20.scen
0.022,739,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-21.scen
0.029,736,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-22.scen
0.028,703,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-23.scen
0.057,775,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-24.scen
0.062,767,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-25.scen
0.032,729,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-26.scen
0.03,759,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-27.scen
0.048,740,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-28.scen
0.035,694,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-29.scen
0.018,720,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-30.scen
0.02,730,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-31.scen
0.039,693,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-32.scen
0.029,761,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-33.scen
0.015,693,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-34.scen
0.032,732,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-35.scen
0.047,720,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-36.scen
0.034,703,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-37.scen
0.029,805,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-38.scen
0.143,767,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-39.scen
0.028,807,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-40.scen
0.021,706,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-41.scen
