runtime,solution cost,solver name,instance name
0.008,442,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-37.scen
0.006,524,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-38.scen
0.014,476,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-39.scen
0.008,525,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-40.scen
0.005,459,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-41.scen
0.011,504,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-42.scen
0.006,474,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-43.scen
0.007,506,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-44.scen
0.009,457,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-45.scen
0.008,454,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-46.scen
0.006,450,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-47.scen
0.008,478,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-48.scen
0.009,470,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-49.scen
0.007,459,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-50.scen
0.007,448,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-51.scen
0.007,482,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-52.scen
0.008,496,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-53.scen
0.011,497,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-54.scen
0.008,449,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-55.scen
0.009,437,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-56.scen
0.006,446,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-57.scen
0.01,477,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-58.scen
0.007,426,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-59.scen
0.009,466,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-60.scen
0.009,462,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-61.scen
0.015,472,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-62.scen
0.006,454,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-63.scen
0.013,454,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-64.scen
0.006,482,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-65.scen
0.007,418,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-66.scen
0.01,498,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-67.scen
0.007,478,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-68.scen
0.01,480,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-69.scen
0.008,511,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-70.scen
0.006,427,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-71.scen
0.007,432,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-72.scen
0.008,455,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-73.scen
0.009,477,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-74.scen
0.007,483,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-75.scen
0.006,454,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-76.scen
0.007,450,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-77.scen
0.008,451,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-78.scen
0.007,482,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-79.scen
0.007,512,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-80.scen
0.008,467,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-81.scen
0.005,463,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-82.scen
0.014,552,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-83.scen
